trade_idx,check_bar,eqs,action,actual_pnl,outcome
471,3,65.0,Trail,-176.62500000003274,loss
472,3,25.0,Exit,-7.874999999950887,loss
473,3,73.0,Hold,-130.5000000000491,loss
474,3,45.0,ScaleOut,-38.62500000002183,loss
475,3,58.0,Trail,-57.749999999989086,loss
476,3,25.0,Exit,64.87500000002728,win
477,3,73.0,Hold,-161.2500000000382,loss
478,3,25.0,Exit,210.00000000004368,win
479,3,73.0,Hold,-306.37500000005457,loss
480,3,45.0,ScaleOut,99.75000000001091,win
481,3,58.0,Trail,-196.12500000002183,loss
482,3,63.0,Trail,190.87499999999451,win
483,3,50.0,Trail,-287.25000000000546,loss
484,3,70.0,Hold,293.2499999999782,win
485,3,35.0,ScaleOut,-389.6249999999891,loss
486,3,70.0,Hold,228.7499999999891,win
487,3,55.0,Trail,-357.37499999999454,loss
488,3,65.0,Trail,113.24999999997816,win
489,3,55.0,Trail,-299.6249999999891,loss
490,3,53.0,Trail,20.625000000043656,win
491,3,55.0,Trail,-198.7500000000382,loss
492,3,78.0,Hold,-32.25000000000546,loss
493,3,35.0,ScaleOut,-145.8749999999891,loss
494,3,58.0,Trail,-43.50000000000546,loss
495,3,55.0,Trail,-134.6249999999891,loss
496,3,58.0,Trail,-35.624999999956344,loss
497,3,55.0,Trail,-142.5000000000382,loss
498,3,50.0,Trail,-169.49999999997272,loss
499,3,63.0,Trail,-8.625000000021828,loss
500,3,50.0,Trail,-123.37499999998909,loss
501,3,70.0,Hold,-32.25000000000546,loss
502,3,70.0,Hold,-42.37500000004911,loss
503,3,50.0,Trail,-76.12499999996726,loss
504,3,50.0,Trail,47.62500000006003,win
505,3,70.0,Hold,-152.62500000005457,loss
506,3,70.0,Hold,237.00000000003277,win
507,3,35.0,ScaleOut,-332.25000000003274,loss
508,3,70.0,Hold,237.00000000003277,win
509,3,25.0,Exit,-332.25000000003274,loss
510,3,73.0,Hold,295.5,win
511,3,45.0,ScaleOut,-390.75,loss
512,3,70.0,Hold,256.5000000000218,win
513,3,35.0,ScaleOut,-371.2500000000109,loss
514,3,50.0,Trail,-48.37500000001637,loss
515,3,63.0,Trail,-140.62499999998363,loss
516,3,73.0,Hold,-9.000000000016371,loss
517,3,35.0,ScaleOut,-179.99999999998363,loss
518,3,58.0,Trail,-6.749999999967258,loss
519,3,45.0,ScaleOut,-182.25000000003277,loss
520,3,80.0,Hold,108.0,win
521,3,25.0,Exit,-297.0,loss
522,3,60.0,Trail,25.5,win
523,3,45.0,ScaleOut,-255.75,loss
524,3,60.0,Trail,-45.37500000003274,loss
525,3,45.0,ScaleOut,-214.1249999999509,loss
526,3,48.0,ScaleOut,-156.74999999996726,loss
527,3,45.0,ScaleOut,-102.75000000001636,loss
528,3,50.0,Trail,-197.25000000003277,loss
529,3,48.0,ScaleOut,-62.24999999995089,loss
530,3,70.0,Hold,-226.5000000000164,loss
531,3,33.0,ScaleOut,-32.99999999996726,loss
532,3,50.0,Trail,-194.6250000000164,loss
533,3,63.0,Trail,-62.99999999996726,loss
534,3,50.0,Trail,-62.62499999997272,loss
535,3,63.0,Trail,-161.62500000000546,loss
536,3,70.0,Hold,1.8749999999618008,win
537,3,38.0,ScaleOut,-189.37499999995637,loss
538,3,50.0,Trail,55.87499999999454,win
539,3,58.0,Trail,-243.3749999999891,loss
540,3,73.0,Hold,111.00000000001091,win
541,3,35.0,ScaleOut,-298.50000000000546,loss
542,3,73.0,Hold,81.00000000001091,win
543,3,35.0,ScaleOut,-283.50000000000546,loss
544,3,78.0,Hold,80.24999999996726,win
545,3,25.0,Exit,-283.12499999998363,loss
546,3,58.0,Trail,78.74999999998909,win
547,3,45.0,ScaleOut,-282.37499999999454,loss
548,3,58.0,Trail,76.49999999996726,win
549,3,45.0,ScaleOut,-281.24999999998363,loss
550,3,73.0,Hold,-9.749999999978172,loss
551,3,25.0,Exit,-237.00000000002728,loss
552,3,73.0,Hold,-12.000000000027285,loss
553,3,25.0,Exit,-234.74999999997817,loss
554,3,75.0,Hold,-7.500000000010914,loss
555,3,25.0,Exit,-239.24999999999451,loss
556,3,53.0,Trail,33.0,win
557,3,45.0,ScaleOut,-259.5,loss
558,3,70.0,Hold,-64.12500000003274,loss
559,3,38.0,ScaleOut,-165.3749999999509,loss
560,3,70.0,Hold,-174.37499999998363,loss
561,3,33.0,ScaleOut,-55.125,loss
562,3,70.0,Hold,-76.50000000001637,loss
563,3,28.0,Exit,-152.99999999996726,loss
564,3,53.0,Trail,-3.375000000016371,loss
565,3,45.0,ScaleOut,-226.1249999999673,loss
566,3,50.0,Trail,-23.624999999967255,loss
567,3,58.0,Trail,-205.8750000000164,loss
568,3,70.0,Hold,-51.74999999996726,loss
569,3,38.0,ScaleOut,-177.75000000001637,loss
570,3,78.0,Hold,-52.87500000003274,loss
571,3,25.0,Exit,-176.6249999999509,loss
572,3,70.0,Hold,-137.62499999997272,loss
573,3,38.0,ScaleOut,-129.75000000000546,loss
574,3,50.0,Trail,-115.8749999999618,loss
575,3,58.0,Trail,-145.12500000002728,loss
576,3,73.0,Hold,-127.50000000001091,loss
577,3,35.0,ScaleOut,-101.62499999997816,loss
578,3,53.0,Trail,-118.49999999997816,loss
579,3,55.0,Trail,-110.62500000001091,loss
580,3,78.0,Hold,-20.24999999998909,loss
581,3,35.0,ScaleOut,-175.50000000002183,loss
582,3,78.0,Hold,-106.8750000000382,loss
583,3,25.0,Exit,-88.87499999997272,loss
